Distance from the cathode,nH,Err,nCH,Err,nC2,Err
mm,m\+(-3),,m\+(-3),,m\+(-3),
3.88376753507014,7.43961880197846E20,3.34782846089031E20,963786872414803,385514748965921,5.39219847687137E17,2.15687939074855E17
3.91783567134269,6.92085263861889E20,3.1143836873785E20,973622602075071,389449040830028,5.47585845150558E17,2.19034338060223E17
3.95190380761523,7.39776085867342E20,3.32899238640304E20,989994289860726,395997715944290,5.52087454582163E17,2.20834981832865E17
3.98597194388778,7.91817419577649E20,3.56317838809942E20,1.00983506311293E15,403934025245172,5.54079203745682E17,2.21631681498273E17
4.02004008016032,8.47969052690088E20,3.8158607371054E20,1.02759119059105E15,411036476236420,5.56070952909201E17,2.2242838116368E17
4.05410821643287,7.69997123856571E20,3.46498705735457E20,1.03312698077282E15,413250792309128,5.56494494855332E17,2.22597797942133E17
4.08817635270541,7.07331538947958E20,3.18299192526581E20,1.03866277095458E15,415465108381832,5.55269408701133E17,2.22107763480453E17
4.12224448897796,6.8600584270764E20,3.08702629218438E20,1.04245583513771E15,416982334055084,5.54044322546933E17,2.21617729018773E17
4.1563126252505,6.74822181437024E20,3.03669981646661E20,1.04526089717987E15,418104358871948,5.54514845828402E17,2.21805938331361E17
4.19038076152305,6.76573235708296E20,3.04457956068733E20,1.04578149079068E15,418312596316272,5.5788802255059E17,2.23155209020236E17
4.22444889779559,7.15229154271237E20,3.21853119422057E20,1.03110158291597E15,412440633166388,5.61261199272778E17,2.24504479709111E17
4.25851703406814,7.38127913711808E20,3.32157561170314E20,1.01642167504125E15,406568670016500,5.63181014006754E17,2.25272405602702E17
4.29258517034068,7.48684115047153E20,3.36907851771219E20,1.00567951666546E15,402271806666184,5.60740742776091E17,2.24296297110436E17
4.32665330661323,7.10775466242516E20,3.19848959809132E20,997319061615644,398927624646258,5.58300471545428E17,2.23320188618171E17
4.36072144288577,6.83345045504654E20,3.07505270477094E20,989501266523424,395800506609370,5.5567568880008E17,2.22270275520032E17
4.39478957915832,6.66593073752042E20,2.99966883188419E20,985835999802389,394334399920956,5.51829615552765E17,2.20731846221106E17
4.42885771543086,6.48849639860751E20,2.91982337937338E20,982170733081355,392868293232542,5.4798354230545E17,2.1919341692218E17
4.46292585170341,6.35060770151928E20,2.85777346568368E20,993332857149737,397333142859895,5.44195666889428E17,2.17678266755771E17
4.49699398797595,6.28873410219342E20,2.82993034598704E20,1.01405313395841E15,405621253583364,5.45005420145555E17,2.18002168058222E17
4.5310621242485,6.19532650052122E20,2.78789692523455E20,1.03291665472279E15,413166661889116,5.45815173401682E17,2.18326069360673E17
4.56513026052104,6.11321106235314E20,2.75094497805891E20,1.03516220889085E15,414064883556340,5.46624926657809E17,2.18649970663124E17
4.59919839679359,6.11398549589034E20,2.75129347315065E20,1.03740776305892E15,414963105223568,5.4953781124093E17,2.19815124496372E17
4.63326653306613,5.91033999190139E20,2.65965299635563E20,1.03293123697549E15,413172494790196,5.52700718429357E17,2.21080287371743E17
4.66733466933868,5.60618378028613E20,2.52278270112876E20,1.02384040156688E15,409536160626752,5.55863625617784E17,2.22345450247114E17
4.70140280561122,5.72244442130206E20,2.57509998958593E20,1.01548719516525E15,406194878066100,5.56491075986503E17,2.22596430394601E17
4.73547094188377,5.9534216332844E20,2.67903973497798E20,1.01503095813246E15,406012383252984,5.5638242598821E17,2.22552970395284E17
4.76953907815631,6.31051110209075E20,2.83972999594084E20,1.01457472109966E15,405829888439864,5.56273775989916E17,2.22509510395966E17
4.80360721442886,6.11770963033239E20,2.75296933364958E20,1.01390343339522E15,405561373358088,5.56845936657735E17,2.22738374663094E17
4.8376753507014,5.88388154295754E20,2.64774669433089E20,1.0130750652002E15,405230026080080,5.57774712436374E17,2.2310988497455E17
4.87174348697395,5.68810047381912E20,2.5596452132186E20,1.01122377008604E15,404489508034416,5.58703488215014E17,2.23481395286006E17
4.90581162324649,5.27868406262755E20,2.3754078281824E20,995855226397567,398342090559027,5.5988615885598E17,2.23954463542392E17
4.93987975951904,4.92804884909062E20,2.21762198209078E20,980486682709094,392194673083638,5.61287297169182E17,2.24514918867673E17
4.97394789579158,5.16356854703414E20,2.32360584616536E20,954598247425799,381839298970320,5.62688435482384E17,2.25075374192954E17
5.00801603206413,5.21709794721432E20,2.34769407624644E20,920538110635809,368215244254324,5.6251199945382E17,2.25004799781528E17
